repository,url,repoUrl
square/dagger,https://github.com/square/dagger/blob/2913739af9b92c39cfb03986a5c4ca7ccdf6122d/compiler/src/it/inner-classes-complaint-injection/pom.xml,https://github.com/square/dagger
square/dagger,https://github.com/square/dagger/blob/2913739af9b92c39cfb03986a5c4ca7ccdf6122d/compiler/src/it/missing-at-inject-constructor/pom.xml,https://github.com/square/dagger
square/dagger,https://github.com/square/dagger/blob/2913739af9b92c39cfb03986a5c4ca7ccdf6122d/compiler/src/it/module-type-validation/pom.xml,https://github.com/square/dagger
square/dagger,https://github.com/square/dagger/blob/2913739af9b92c39cfb03986a5c4ca7ccdf6122d/compiler/src/it/multiple-modules-setvalues/pom.xml,https://github.com/square/dagger
square/dagger,https://github.com/square/dagger/blob/2913739af9b92c39cfb03986a5c4ca7ccdf6122d/compiler/src/it/multiple-provides-methods/pom.xml,https://github.com/square/dagger
square/dagger,https://github.com/square/dagger/blob/2913739af9b92c39cfb03986a5c4ca7ccdf6122d/compiler/src/it/multiple-qualifiers/pom.xml,https://github.com/square/dagger
square/dagger,https://github.com/square/dagger/blob/2913739af9b92c39cfb03986a5c4ca7ccdf6122d/compiler/src/it/private-inject/pom.xml,https://github.com/square/dagger
square/dagger,https://github.com/square/dagger/blob/2913739af9b92c39cfb03986a5c4ca7ccdf6122d/compiler/src/it/provide-provider-or-lazy/pom.xml,https://github.com/square/dagger
square/dagger,https://github.com/square/dagger/blob/2913739af9b92c39cfb03986a5c4ca7ccdf6122d/compiler/src/it/provides-method-not-in-module/pom.xml,https://github.com/square/dagger
square/dagger,https://github.com/square/dagger/blob/2913739af9b92c39cfb03986a5c4ca7ccdf6122d/compiler/src/it/provides-method-with-throws-clause/pom.xml,https://github.com/square/dagger
square/dagger,https://github.com/square/dagger/blob/2913739af9b92c39cfb03986a5c4ca7ccdf6122d/compiler/src/it/qualifiers-on-invalid-elements-errors/pom.xml,https://github.com/square/dagger
square/dagger,https://github.com/square/dagger/blob/2913739af9b92c39cfb03986a5c4ca7ccdf6122d/compiler/src/it/qualifiers-on-invalid-elements-warnings/pom.xml,https://github.com/square/dagger
square/dagger,https://github.com/square/dagger/blob/2913739af9b92c39cfb03986a5c4ca7ccdf6122d/compiler/src/it/same-provides-method-name/pom.xml,https://github.com/square/dagger
square/dagger,https://github.com/square/dagger/blob/2913739af9b92c39cfb03986a5c4ca7ccdf6122d/compiler/src/it/static-injected-binding-doesnt-fail-providers/pom.xml,https://github.com/square/dagger
square/dagger,https://github.com/square/dagger/blob/2913739af9b92c39cfb03986a5c4ca7ccdf6122d/compiler/src/it/uninjectable-supertype/pom.xml,https://github.com/square/dagger
square/dagger,https://github.com/square/dagger/blob/2913739af9b92c39cfb03986a5c4ca7ccdf6122d/compiler/src/it/valid-use-of-qualifiers/pom.xml,https://github.com/square/dagger
square/dagger,https://github.com/square/dagger/blob/2913739af9b92c39cfb03986a5c4ca7ccdf6122d/core/pom.xml,https://github.com/square/dagger
square/dagger,https://github.com/square/dagger/blob/2913739af9b92c39cfb03986a5c4ca7ccdf6122d/examples/android-activity-graphs/pom.xml,https://github.com/square/dagger
square/dagger,https://github.com/square/dagger/blob/2913739af9b92c39cfb03986a5c4ca7ccdf6122d/examples/android-simple/pom.xml,https://github.com/square/dagger
square/dagger,https://github.com/square/dagger/blob/2913739af9b92c39cfb03986a5c4ca7ccdf6122d/examples/pom.xml,https://github.com/square/dagger
square/dagger,https://github.com/square/dagger/blob/2913739af9b92c39cfb03986a5c4ca7ccdf6122d/examples/simple/pom.xml,https://github.com/square/dagger
google/guice,https://github.com/google/guice/blob/fe67d047ff6b9c1b866585d0f913e83c20685295/extensions/mini/pom.xml,https://github.com/google/guice
google/guice,https://github.com/google/guice/blob/fe67d047ff6b9c1b866585d0f913e83c20685295/extensions/service/pom.xml,https://github.com/google/guice
google/guice,https://github.com/google/guice/blob/c9dda9d100c3e91d79a3eb40f5c52a11793e47ea/bom/pom.xml,https://github.com/google/guice
google/guice,https://github.com/google/guice/blob/c9dda9d100c3e91d79a3eb40f5c52a11793e47ea/core/pom.xml,https://github.com/google/guice
google/guice,https://github.com/google/guice/blob/c9dda9d100c3e91d79a3eb40f5c52a11793e47ea/extensions/assistedinject/pom.xml,https://github.com/google/guice
google/guice,https://github.com/google/guice/blob/c9dda9d100c3e91d79a3eb40f5c52a11793e47ea/extensions/dagger-adapter/pom.xml,https://github.com/google/guice
google/guice,https://github.com/google/guice/blob/c9dda9d100c3e91d79a3eb40f5c52a11793e47ea/extensions/grapher/pom.xml,https://github.com/google/guice
google/guice,https://github.com/google/guice/blob/c9dda9d100c3e91d79a3eb40f5c52a11793e47ea/extensions/jmx/pom.xml,https://github.com/google/guice
google/guice,https://github.com/google/guice/blob/c9dda9d100c3e91d79a3eb40f5c52a11793e47ea/extensions/jndi/pom.xml,https://github.com/google/guice
google/guice,https://github.com/google/guice/blob/c9dda9d100c3e91d79a3eb40f5c52a11793e47ea/extensions/multibindings/pom.xml,https://github.com/google/guice
google/guice,https://github.com/google/guice/blob/c9dda9d100c3e91d79a3eb40f5c52a11793e47ea/extensions/persist/pom.xml,https://github.com/google/guice
google/guice,https://github.com/google/guice/blob/c9dda9d100c3e91d79a3eb40f5c52a11793e47ea/extensions/pom.xml,https://github.com/google/guice
google/guice,https://github.com/google/guice/blob/c9dda9d100c3e91d79a3eb40f5c52a11793e47ea/extensions/servlet/pom.xml,https://github.com/google/guice
google/guice,https://github.com/google/guice/blob/c9dda9d100c3e91d79a3eb40f5c52a11793e47ea/extensions/spring/pom.xml,https://github.com/google/guice
google/guice,https://github.com/google/guice/blob/c9dda9d100c3e91d79a3eb40f5c52a11793e47ea/extensions/struts2/pom.xml,https://github.com/google/guice
google/guice,https://github.com/google/guice/blob/c9dda9d100c3e91d79a3eb40f5c52a11793e47ea/extensions/testlib/pom.xml,https://github.com/google/guice
google/guice,https://github.com/google/guice/blob/c9dda9d100c3e91d79a3eb40f5c52a11793e47ea/extensions/throwingproviders/pom.xml,https://github.com/google/guice
google/guice,https://github.com/google/guice/blob/c9dda9d100c3e91d79a3eb40f5c52a11793e47ea/jdk8-tests/pom.xml,https://github.com/google/guice
google/guice,https://github.com/google/guice/blob/c9dda9d100c3e91d79a3eb40f5c52a11793e47ea/pom.xml,https://github.com/google/guice
xetorthio/jedis,https://github.com/xetorthio/jedis/blob/19772785c79d97365e3686fcded31a656962ed9f/pom.xml,https://github.com/xetorthio/jedis
google/auto,https://github.com/google/auto/blob/3f4390495b11e2ffa7194117ce5762f7598f3422/factory/src/it/functional/pom.xml,https://github.com/google/auto
google/auto,https://github.com/google/auto/blob/b25da200552efbfc258c819825edf69c7f12b989/pom.xml,https://github.com/google/auto
google/auto,https://github.com/google/auto/blob/69fb0e47e78a786e78e79a01efdfe6a9a58e591f/common/pom.xml,https://github.com/google/auto
google/auto,https://github.com/google/auto/blob/68df3e5017439a6984f34bfea81e2d951f7b1078/service/pom.xml,https://github.com/google/auto
google/auto,https://github.com/google/auto/blob/4d6df145e34a6db1e9ac23aac3e974e13e8cb4e2/factory/pom.xml,https://github.com/google/auto
google/auto,https://github.com/google/auto/blob/3fec79618a67335ca3849291a6c2b88c2f920710/value/annotations/pom.xml,https://github.com/google/auto
google/auto,https://github.com/google/auto/blob/3fec79618a67335ca3849291a6c2b88c2f920710/value/pom.xml,https://github.com/google/auto
google/auto,https://github.com/google/auto/blob/3fec79618a67335ca3849291a6c2b88c2f920710/value/processor/pom.xml,https://github.com/google/auto
google/auto,https://github.com/google/auto/blob/3fec79618a67335ca3849291a6c2b88c2f920710/value/src/it/functional/pom.xml,https://github.com/google/auto
google/auto,https://github.com/google/auto/blob/3fec79618a67335ca3849291a6c2b88c2f920710/value/src/it/gwtserializer/pom.xml,https://github.com/google/auto
google/auto,https://github.com/google/auto/blob/004463e737238efca002185dd1c8b002140ef309/build-pom.xml,https://github.com/google/auto
dropwizard/dropwizard,https://github.com/dropwizard/dropwizard/blob/ee8c71be8834b96249e16e44fef06f76a6665180/dropwizard-archetypes/java-simple/pom.xml,https://github.com/dropwizard/dropwizard
dropwizard/dropwizard,https://github.com/dropwizard/dropwizard/blob/ee8c71be8834b96249e16e44fef06f76a6665180/dropwizard-archetypes/pom.xml,https://github.com/dropwizard/dropwizard
dropwizard/dropwizard,https://github.com/dropwizard/dropwizard/blob/ee8c71be8834b96249e16e44fef06f76a6665180/dropwizard-assets/pom.xml,https://github.com/dropwizard/dropwizard
dropwizard/dropwizard,https://github.com/dropwizard/dropwizard/blob/ee8c71be8834b96249e16e44fef06f76a6665180/dropwizard-auth/pom.xml,https://github.com/dropwizard/dropwizard
dropwizard/dropwizard,https://github.com/dropwizard/dropwizard/blob/ee8c71be8834b96249e16e44fef06f76a6665180/dropwizard-benchmarks/pom.xml,https://github.com/dropwizard/dropwizard
dropwizard/dropwizard,https://github.com/dropwizard/dropwizard/blob/ee8c71be8834b96249e16e44fef06f76a6665180/dropwizard-client/pom.xml,https://github.com/dropwizard/dropwizard
dropwizard/dropwizard,https://github.com/dropwizard/dropwizard/blob/ee8c71be8834b96249e16e44fef06f76a6665180/dropwizard-configuration/pom.xml,https://github.com/dropwizard/dropwizard
dropwizard/dropwizard,https://github.com/dropwizard/dropwizard/blob/ee8c71be8834b96249e16e44fef06f76a6665180/dropwizard-core/pom.xml,https://github.com/dropwizard/dropwizard
dropwizard/dropwizard,https://github.com/dropwizard/dropwizard/blob/ee8c71be8834b96249e16e44fef06f76a6665180/dropwizard-db/pom.xml,https://github.com/dropwizard/dropwizard
dropwizard/dropwizard,https://github.com/dropwizard/dropwizard/blob/ee8c71be8834b96249e16e44fef06f76a6665180/dropwizard-e2e/pom.xml,https://github.com/dropwizard/dropwizard
dropwizard/dropwizard,https://github.com/dropwizard/dropwizard/blob/ee8c71be8834b96249e16e44fef06f76a6665180/dropwizard-forms/pom.xml,https://github.com/dropwizard/dropwizard
dropwizard/dropwizard,https://github.com/dropwizard/dropwizard/blob/ee8c71be8834b96249e16e44fef06f76a6665180/dropwizard-hibernate/pom.xml,https://github.com/dropwizard/dropwizard
dropwizard/dropwizard,https://github.com/dropwizard/dropwizard/blob/ee8c71be8834b96249e16e44fef06f76a6665180/dropwizard-jackson/pom.xml,https://github.com/dropwizard/dropwizard
dropwizard/dropwizard,https://github.com/dropwizard/dropwizard/blob/ee8c71be8834b96249e16e44fef06f76a6665180/dropwizard-jdbi/pom.xml,https://github.com/dropwizard/dropwizard
dropwizard/dropwizard,https://github.com/dropwizard/dropwizard/blob/ee8c71be8834b96249e16e44fef06f76a6665180/dropwizard-jdbi3/pom.xml,https://github.com/dropwizard/dropwizard
dropwizard/dropwizard,https://github.com/dropwizard/dropwizard/blob/ee8c71be8834b96249e16e44fef06f76a6665180/dropwizard-jersey/pom.xml,https://github.com/dropwizard/dropwizard
dropwizard/dropwizard,https://github.com/dropwizard/dropwizard/blob/ee8c71be8834b96249e16e44fef06f76a6665180/dropwizard-jetty/pom.xml,https://github.com/dropwizard/dropwizard
dropwizard/dropwizard,https://github.com/dropwizard/dropwizard/blob/ee8c71be8834b96249e16e44fef06f76a6665180/dropwizard-json-logging/pom.xml,https://github.com/dropwizard/dropwizard
dropwizard/dropwizard,https://github.com/dropwizard/dropwizard/blob/ee8c71be8834b96249e16e44fef06f76a6665180/dropwizard-lifecycle/pom.xml,https://github.com/dropwizard/dropwizard
dropwizard/dropwizard,https://github.com/dropwizard/dropwizard/blob/ee8c71be8834b96249e16e44fef06f76a6665180/dropwizard-logging/pom.xml,https://github.com/dropwizard/dropwizard
dropwizard/dropwizard,https://github.com/dropwizard/dropwizard/blob/ee8c71be8834b96249e16e44fef06f76a6665180/dropwizard-metrics-graphite/pom.xml,https://github.com/dropwizard/dropwizard
dropwizard/dropwizard,https://github.com/dropwizard/dropwizard/blob/ee8c71be8834b96249e16e44fef06f76a6665180/dropwizard-metrics/pom.xml,https://github.com/dropwizard/dropwizard
dropwizard/dropwizard,https://github.com/dropwizard/dropwizard/blob/ee8c71be8834b96249e16e44fef06f76a6665180/dropwizard-migrations/pom.xml,https://github.com/dropwizard/dropwizard
dropwizard/dropwizard,https://github.com/dropwizard/dropwizard/blob/ee8c71be8834b96249e16e44fef06f76a6665180/dropwizard-request-logging/pom.xml,https://github.com/dropwizard/dropwizard
dropwizard/dropwizard,https://github.com/dropwizard/dropwizard/blob/ee8c71be8834b96249e16e44fef06f76a6665180/dropwizard-servlets/pom.xml,https://github.com/dropwizard/dropwizard
dropwizard/dropwizard,https://github.com/dropwizard/dropwizard/blob/ee8c71be8834b96249e16e44fef06f76a6665180/dropwizard-util/pom.xml,https://github.com/dropwizard/dropwizard
dropwizard/dropwizard,https://github.com/dropwizard/dropwizard/blob/ee8c71be8834b96249e16e44fef06f76a6665180/dropwizard-views-freemarker/pom.xml,https://github.com/dropwizard/dropwizard
dropwizard/dropwizard,https://github.com/dropwizard/dropwizard/blob/ee8c71be8834b96249e16e44fef06f76a6665180/dropwizard-views-mustache/pom.xml,https://github.com/dropwizard/dropwizard
dropwizard/dropwizard,https://github.com/dropwizard/dropwizard/blob/ee8c71be8834b96249e16e44fef06f76a6665180/dropwizard-views/pom.xml,https://github.com/dropwizard/dropwizard
dropwizard/dropwizard,https://github.com/dropwizard/dropwizard/blob/97edef84e49c39a492bde040b76478ce608be7a4/dropwizard-archetypes/java-simple/src/main/resources/archetype-resources/pom.xml,https://github.com/dropwizard/dropwizard
code4craft/webmagic,https://github.com/code4craft/webmagic/blob/e276b11ea9be727bdf4babb1f1b78155ef295377/webmagic-core/pom.xml,https://github.com/code4craft/webmagic
code4craft/webmagic,https://github.com/code4craft/webmagic/blob/e276b11ea9be727bdf4babb1f1b78155ef295377/webmagic-extension/pom.xml,https://github.com/code4craft/webmagic
code4craft/webmagic,https://github.com/code4craft/webmagic/blob/e276b11ea9be727bdf4babb1f1b78155ef295377/webmagic-samples/pom.xml,https://github.com/code4craft/webmagic
code4craft/webmagic,https://github.com/code4craft/webmagic/blob/e276b11ea9be727bdf4babb1f1b78155ef295377/webmagic-saxon/pom.xml,https://github.com/code4craft/webmagic
code4craft/webmagic,https://github.com/code4craft/webmagic/blob/e276b11ea9be727bdf4babb1f1b78155ef295377/webmagic-scripts/pom.xml,https://github.com/code4craft/webmagic
code4craft/webmagic,https://github.com/code4craft/webmagic/blob/e276b11ea9be727bdf4babb1f1b78155ef295377/webmagic-selenium/pom.xml,https://github.com/code4craft/webmagic
code4craft/webmagic,https://github.com/code4craft/webmagic/blob/fe80950ee93126665faaf958f306e983615be322/pom.xml,https://github.com/code4craft/webmagic
druid-io/druid,https://github.com/druid-io/druid/blob/7e02408510f468dc001b73f3a38569c28c03b2b7/benchmarks/pom.xml,https://github.com/druid-io/druid
druid-io/druid,https://github.com/druid-io/druid/blob/7e02408510f468dc001b73f3a38569c28c03b2b7/examples/pom.xml,https://github.com/druid-io/druid
druid-io/druid,https://github.com/druid-io/druid/blob/7e02408510f468dc001b73f3a38569c28c03b2b7/extendedset/pom.xml,https://github.com/druid-io/druid
druid-io/druid,https://github.com/druid-io/druid/blob/7e02408510f468dc001b73f3a38569c28c03b2b7/extensions-contrib/ambari-metrics-emitter/pom.xml,https://github.com/druid-io/druid
druid-io/druid,https://github.com/druid-io/druid/blob/7e02408510f468dc001b73f3a38569c28c03b2b7/extensions-contrib/azure-extensions/pom.xml,https://github.com/druid-io/druid
druid-io/druid,https://github.com/druid-io/druid/blob/7e02408510f468dc001b73f3a38569c28c03b2b7/extensions-contrib/cassandra-storage/pom.xml,https://github.com/druid-io/druid
