repo,dependencyFile,url,http://org.softlang.com/Folder,http://org.softlang.com/File,http://org.softlang.com/groupId,http://org.softlang.com/artifactId,http://org.softlang.com/relativePath,http://org.softlang.com/Pom,http://org.softlang.com/MavenDependency,http://org.softlang.com/Property,http://org.softlang.com/ParentBlock,http://org.softlang.com/ParentPom,http://org.softlang.com/resolvable
sharding-sphere/sharding-sphere,https://github.com/sharding-sphere/sharding-sphere,https://github.com/sharding-sphere/sharding-sphere/blob/16948a2c6beb87752a39669ab6404bbb4d66ad1d/sharding-jdbc/sharding-jdbc-orchestration-spring/pom.xml,775,1756,151,151,NaN,21,131,57,20,6,423
springside/springside4,https://github.com/springside/springside4,https://github.com/springside/springside4/blob/cda225316162793bc9a299dbde94ba54762eb839/examples/boot-api/pom.xml,140,242,61,61,NaN,10,60,52,1,NaN,215
b3log/solo,https://github.com/b3log/solo,https://github.com/b3log/solo/blob/59688a911e4ec68182b2c7124af8a9dabcb8c9da/pom.xml,174,1902,21,21,NaN,1,21,25,NaN,NaN,88
emilsjolander/StickyListHeaders,https://github.com/emilsjolander/StickyListHeaders,https://github.com/emilsjolander/StickyListHeaders/blob/cec8d6a6ddfc29c530df5864794a5a0a2d2f3675/library/pom.xml,26,57,1,1,NaN,1,1,3,NaN,NaN,6
apache/storm,https://github.com/apache/storm,https://github.com/apache/storm/blob/94c6a644aeb27b6c689d7b9f68bd2e7adb5c8734/examples/storm-elasticsearch-examples/pom.xml,1300,2980,595,595,69,72,523,114,72,3,1699
stanfordnlp/CoreNLP,https://github.com/stanfordnlp/CoreNLP,https://github.com/stanfordnlp/CoreNLP/blob/eb43d5d9150de97f8061fa06b838f1d021586789/doc/lexparser/pom.xml,364,2656,35,35,NaN,3,35,6,NaN,NaN,111
swagger-api/swagger-core,https://github.com/swagger-api/swagger-core,https://github.com/swagger-api/swagger-core/blob/26d72bf5fd2d54e5e514ddcf3861d125d2f95b42/modules/swagger-hibernate-validations/pom.xml,325,903,125,125,9,10,115,40,10,1,373
medcl/elasticsearch-analysis-ik,https://github.com/medcl/elasticsearch-analysis-ik,https://github.com/medcl/elasticsearch-analysis-ik/blob/83fa2ff8b234984bca63397148feffa0bedd439c/pom.xml,22,44,7,7,NaN,1,6,10,1,NaN,30
google/j2objc,https://github.com/google/j2objc,https://github.com/google/j2objc/blob/b3ce6b70a1bce68b5cb574154b7144c3ef242e13/annotations/pom.xml,917,4075,16,16,NaN,2,15,NaN,1,NaN,47
apache/zookeeper,https://github.com/apache/zookeeper,https://github.com/apache/zookeeper/blob/e92fdfefb86df24d9ef6e68be827e21f55b1c971/pom.xml,300,1318,2,2,2,2,NaN,NaN,2,1,6
square/otto,https://github.com/square/otto,https://github.com/square/otto/blob/2a67589abd91879cf23a8c96542b59349485ec3d/otto-sample/pom.xml,31,62,9,9,3,3,6,NaN,3,1,22
MyCATApache/Mycat-Server,https://github.com/MyCATApache/Mycat-Server,https://github.com/MyCATApache/Mycat-Server/blob/d3012dc13062a8c69cc3737747fba09911926c39/pom.xml,209,1150,33,33,NaN,1,33,4,NaN,NaN,103
eclipse/che,https://github.com/eclipse/che,https://github.com/eclipse/che/blob/7ce7635ab1fdf9458ef17d1ccc1c74edcf7299f3/plugins/plugin-java/che-plugin-java-ext-lang-server/src/test/resources/projects/multimoduleProject/subModule/pom.xml,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
grpc/grpc-java,https://github.com/grpc/grpc-java,https://github.com/grpc/grpc-java/blob/959323be974e77dcbf10695d4a3a5e213bfd838c/examples/pom.xml,639,1194,11,11,NaN,1,11,7,NaN,NaN,40
apereo/cas,https://github.com/apereo/cas,https://github.com/apereo/cas/blob/f83d6d935557453d1f9371adfc9bd75ab144ed46/docker/cas-overlay/pom.xml,5875,4780,1,1,NaN,1,1,3,NaN,NaN,6
Trinea/android-common,https://github.com/Trinea/android-common,https://github.com/Trinea/android-common/blob/43ebcee553a970922afd0d822959f99dba84b8f4/pom.xml,23,96,2,2,NaN,1,1,2,1,NaN,7
thinkaurelius/titan,https://github.com/thinkaurelius/titan,https://github.com/thinkaurelius/titan/blob/ee226e52415b8bf43b700afac75fa5b9767993a5/pom.xml,550,1992,384,384,25,26,358,133,26,4,1236
alibaba/arthas,https://github.com/alibaba/arthas,https://github.com/alibaba/arthas/blob/5f517cb6dd587bdf77aaf369230e3f4462a53082/agent/pom.xml,120,362,45,45,NaN,8,37,3,8,1,114
ben-manes/caffeine,https://github.com/ben-manes/caffeine,https://github.com/ben-manes/caffeine/blob/e8ff6d3261e7f5666d2b486352cc04b2874d70ed/examples/write-behind-rxjava/pom.xml,229,466,4,4,NaN,1,4,5,NaN,NaN,17
