created_at,default_branch,ecore,eobject,forks_count,genmodel,language,pushed_at,repository,sha,sha_data,size,stargazers_count,updated_at,watchers_count,components,duplicates,time,state,http://org.softlang.com/Folder,http://org.softlang.com/File,http://org.softlang.com/Manifest,http://org.softlang.com/Pom,http://org.softlang.com/Gradle,http://org.softlang.com/Ant,uniform_build
2013-10-18T11:51:17Z,master,1.0,4.0,0.0,1.0,Java,2013-11-19T21:10:01Z,joe-hache/IDM_Arduino_Polytech,28d3e854cf354f8d7a772c33252bdb1c45d46123,2013-11-19T21:09:59Z,252.0,0.0,2013-11-19T21:14:37Z,0.0,1.0,0.0,703,done,22.0,79.0,1.0,0.0,0.0,0.0,True
2014-02-02T20:05:36Z,master,12.0,0.0,0.0,12.0,Xtend,2016-04-28T15:43:14Z,jacruzca/modev,8b7357b309c98f1a287a0e02241499ff997dbfa3,2014-07-18T00:05:01Z,2163.0,0.0,2017-11-08T03:00:24Z,0.0,1.0,0.0,1125,done,506.0,610.0,1.0,0.0,0.0,0.0,True
2017-09-11T20:03:37Z,master,1.0,7.0,0.0,1.0,Java,2017-09-11T20:07:41Z,xbitres/blendedTest,5e8597f44ed01464734061b6218a14831c25649e,2017-09-11T20:07:08Z,31625.0,0.0,2017-09-11T20:07:45Z,0.0,1.0,0.0,1703,done,556.0,941.0,1.0,0.0,0.0,0.0,True
2014-12-24T04:39:23Z,master,1.0,5.0,0.0,1.0,Java,2014-12-24T06:50:28Z,helunwencser/PAOC,797ccd4f820f61ef2a01330b403ce9e35c9b5895,2014-12-24T06:36:35Z,2732.0,0.0,2015-12-21T08:38:19Z,0.0,1.0,0.0,844,done,137.0,484.0,1.0,0.0,0.0,0.0,True
2016-07-08T04:48:56Z,master,1.0,6.0,0.0,1.0,Java,2016-07-12T19:01:52Z,tdeinlein/bachelor_thesis,dbb60a7c81c8737a416105af8f7f54cedea3244b,2016-07-08T05:06:31Z,186386.0,0.0,2016-07-12T19:01:01Z,0.0,1.0,0.0,2298,done,175.0,369.0,1.0,0.0,0.0,0.0,True
2015-03-14T19:59:43Z,master,1.0,4.0,0.0,1.0,Java,2015-03-14T20:10:58Z,deimpali/bme,ff01584c8ff076f9820dce68eb8f129bcef05224,2015-03-14T20:09:00Z,132.0,0.0,2015-03-14T20:11:00Z,0.0,1.0,0.0,625,done,10.0,29.0,1.0,0.0,0.0,0.0,True
2013-03-15T21:59:32Z,master,1.0,44.0,0.0,1.0,Java,2013-03-23T13:32:34Z,benahm/StrutsGenerator,f8602becbf85d3bd1cf897f075ba8da3b4f3b242,2013-03-23T13:32:34Z,7020.0,0.0,2014-01-01T18:11:07Z,0.0,1.0,0.0,860,done,37.0,291.0,1.0,0.0,0.0,0.0,True
2015-01-24T22:08:07Z,master,1.0,10.0,0.0,1.0,Java,2015-01-24T22:18:24Z,mourjo/eplisePluginNuSMV,84490a11d31db9e42e27134a28e19adc06140332,2015-01-24T22:18:06Z,224.0,0.0,2015-01-24T22:18:24Z,0.0,1.0,0.0,641,done,38.0,171.0,1.0,0.0,0.0,0.0,True
2016-08-23T00:08:45Z,master,1.0,44.0,0.0,1.0,Java,2016-09-07T21:33:13Z,RaiffRamalho/compiladores2,5cc24abdaaf3dce8c92b969b002f77eda22f2bff,2016-09-07T21:32:49Z,23498.0,0.0,2016-09-05T01:03:38Z,0.0,1.0,0.0,1263,done,178.0,404.0,1.0,0.0,0.0,0.0,True
2017-10-02T08:44:38Z,master,1.0,5.0,0.0,1.0,Java,2018-02-15T22:08:54Z,sunfish-prj/Secure-Multiparty-Computation,36f0e50cd61d7299b16d1e687fffa1050d692522,2018-02-15T22:08:36Z,2565.0,0.0,2018-02-15T22:08:56Z,0.0,1.0,0.0,739,done,171.0,246.0,1.0,0.0,0.0,0.0,True
2014-05-27T08:32:46Z,master,1.0,7.0,0.0,1.0,Java,2014-05-27T08:34:29Z,FAMILIAR-project/Tools4PCM,010759e5063a1d5ad4809cb67cce477f1c306b7c,2014-05-16T12:43:00Z,141277.0,2.0,2016-06-13T23:41:48Z,2.0,1.0,0.0,7455,done,116.0,4414.0,1.0,0.0,0.0,0.0,True
2015-01-24T21:03:22Z,master,1.0,7.0,0.0,1.0,Java,2015-01-24T21:04:51Z,mourjo/ModelsOfComputation,c4c911e4d3c5b25911d52b1db717fe98f7e2565c,2015-01-24T21:04:24Z,1780.0,0.0,2015-01-24T21:04:53Z,0.0,1.0,0.0,797,done,163.0,352.0,1.0,0.0,0.0,0.0,True
2015-02-22T21:01:48Z,master,4.0,75.0,0.0,4.0,Java,2015-02-24T00:37:37Z,berndv/org.sourcepit.java,eba014c32bd8c4d5ec16132069dc23bedbc3016e,2015-02-24T00:36:46Z,924.0,0.0,2015-02-24T00:37:38Z,0.0,1.0,0.0,766,done,274.0,624.0,1.0,0.0,0.0,0.0,True
2015-11-03T14:03:59Z,master,1.0,33.0,0.0,1.0,Java,2015-12-10T12:59:42Z,AresEkb/sql,730dd92b25954307ca0a4251216b98b12910c035,2015-12-10T12:59:18Z,917.0,1.0,2015-12-11T19:28:11Z,1.0,1.0,0.0,797,done,101.0,577.0,1.0,0.0,0.0,0.0,True
2014-05-08T14:33:04Z,master,1.0,6.0,0.0,1.0,Java,2014-05-21T01:45:58Z,educhoko91/ListaProject,efc5aca98910cb0968041cd670e7ba6e4415da1b,2014-05-21T01:45:45Z,2448.0,0.0,2014-05-21T01:45:58Z,0.0,1.0,0.0,701,done,84.0,186.0,1.0,0.0,0.0,0.0,True
2016-02-08T15:35:14Z,master,2.0,12.0,0.0,2.0,Java,2016-05-05T00:06:07Z,jmarsican/emfTest,cd7ffe721f469532a6d25fb9ca2b02e3e5fdb2fe,2016-04-17T22:57:33Z,216.0,0.0,2016-02-08T15:46:56Z,0.0,1.0,0.0,751,done,90.0,223.0,1.0,0.0,0.0,0.0,True
2013-09-16T12:38:59Z,master,2.0,7.0,0.0,2.0,Java,2013-10-16T07:02:58Z,nbhusare/Object-Editor,48f5fdd15b10381762b9b251641ab6251d52a94b,2013-10-16T07:01:43Z,3860.0,0.0,2013-10-16T07:02:59Z,0.0,1.0,0.0,785,done,130.0,226.0,1.0,0.0,0.0,0.0,True
2017-10-16T18:29:29Z,ApplicationConditions,1.0,0.0,0.0,0.0,Java,2017-10-16T18:29:48Z,fmde-lab-sessions/exercise-1-pascal-tarin,43433bc0610a900713bfee64b0cd3113ca96d00f,2017-02-06T07:38:35Z,8377.0,0.0,2017-10-16T18:29:56Z,0.0,1.0,0.0,898,done,39.0,197.0,1.0,0.0,0.0,0.0,True
