http://org.softlang.com/EcorePackageGenmodel,stargazers_count,pushed_at,http://org.softlang.com/EcorePackageXMI,http://org.softlang.com/Folder,language,repository,http://org.softlang.com/Ant,genmodel,http://org.softlang.com/qegal/EJ3,http://org.softlang.com/Pom,http://org.softlang.com/Gradle,http://org.softlang.com/EcorePackageJava,state,http://org.softlang.com/File,http://org.softlang.com/EcoreClassifierJava,http://org.softlang.com/EcoreClassifierXMI,duplicates,http://org.softlang.com/qegal/E,http://org.softlang.com/qegal/G,http://org.softlang.com/Ecore,sha,http://org.softlang.com/correspondsTo,eobject,http://org.softlang.com/qegal/J,size,http://org.softlang.com/partOf,ecore,default_branch,components,sha_data,http://org.softlang.com/manifestsAs,created_at,http://org.softlang.com/Genmodel,http://org.softlang.com/uri,updated_at,http://org.softlang.com/EcoreFactoryJava,http://org.softlang.com/name,http://org.softlang.com/OSGiProject,uniform_build,http://org.softlang.com/XML,http://org.softlang.com/nsUri,http://org.softlang.com/Manifest,http://org.softlang.com/refOccurs,http://org.softlang.com/Java,http://org.softlang.com/elementOf,time,watchers_count,http://org.softlang.com/nsPrefix,forks_count,http://org.softlang.com/refersTo,exception_in_process,http://org.softlang.com/qegal/EJc2,http://org.softlang.com/qegal/EJ1,http://org.softlang.com/qegal/EE
1,0.0,2013-09-21T21:02:59Z,1,52.0,Java,ckrause/transformr,0.0,1.0,1,0.0,0.0,1,done,270.0,28,28,0.0,1,1,1,afec24fee3344476af1e950a45918665737ec2ad,29,3.0,1,7532.0,392,1.0,master,1.0,2013-09-21T21:02:54Z,363,2013-09-03T18:47:49Z,1,56,2014-05-21T19:06:33Z,1,28,5,True,16,31,1.0,16,122,210,825,0.0,1,0.0,1,,,,
"",0.0,2015-12-23T19:10:51Z,1,27.0,Java,Anouaman/TheSiriusStuff,0.0,0.0,,0.0,0.0,,done,27.0,,16,0.0,1,,1,bca39d28e0fc2714c0ce74d5de3399f694272dab,,0.0,,416.0,111,1.0,master,1.0,2015-12-23T19:10:51Z,95,2015-12-23T18:00:13Z,,16,2015-12-23T18:57:22Z,,16,2,True,10,17,1.0,7,2,34,609,0.0,1,1.0,,,,1,
"",0.0,2015-12-03T21:28:43Z,1,25.0,Java,masters-info-nantes/sirius-black,0.0,0.0,,0.0,0.0,,done,18.0,,16,0.0,1,,1,ed5beec6afc800cb1c2faa7376c35762bb92a595,,0.0,,427.0,100,1.0,master,1.0,2015-12-03T21:28:37Z,84,2015-11-23T18:15:32Z,,16,2015-11-29T22:24:00Z,,16,2,True,5,17,1.0,7,2,29,631,0.0,1,0.0,,,,1,
1,0.0,2015-05-28T04:23:38Z,1,23.0,Java,talitalopes/GraphitiChess,0.0,1.0,1,0.0,0.0,1,done,49.0,7,7,0.0,1,1,1,d16d9dc0bdd70b4cd8880e44055f704a9770f18e,8,6.0,1,180.0,119,1.0,master,1.0,2015-05-28T04:23:23Z,111,2015-05-28T04:15:45Z,1,14,2015-05-28T04:23:40Z,1,7,1,True,6,10,1.0,5,29,57,625,0.0,1,0.0,1,,,,
1,1.0,2012-05-14T08:24:01Z,1,59.0,Java,atanaka/experimental-rmodp-dsl,0.0,1.0,1,0.0,0.0,1,done,195.0,63,63,0.0,1,1,1,88c0584e97b2d5fb302ec59b3907151fc81f1615,64,45.0,1,724.0,359,1.0,master,1.0,2012-05-14T08:23:05Z,295,2012-05-13T13:55:37Z,1,126,2013-11-10T17:11:14Z,1,63,2,True,13,66,1.0,24,163,312,625,1.0,1,0.0,,,,,
2,0.0,2014-01-06T04:17:20Z,2,61.0,Xtend,XtextHaskell/language.common,0.0,2.0,,0.0,0.0,,done,88.0,,8,0.0,2,2,2,6c1a46e7be040c8091f81b981029c970acf3132b,,0.0,,156.0,201,2.0,master,1.0,2014-01-06T04:17:07Z,190,2014-01-05T13:17:28Z,2,8,2014-01-06T04:17:20Z,,8,6,True,33,10,1.0,57,6,67,641,0.0,2,0.0,,,,2,
1,0.0,2013-11-19T21:10:01Z,1,22.0,Java,joe-hache/IDM_Arduino_Polytech,0.0,1.0,1,0.0,0.0,1,done,79.0,13,13,0.0,1,1,1,28d3e854cf354f8d7a772c33252bdb1c45d46123,14,4.0,1,252.0,156,1.0,master,1.0,2013-11-19T21:09:59Z,142,2013-10-18T11:51:17Z,1,26,2013-11-19T21:14:37Z,1,13,3,True,19,16,1.0,17,41,98,703,0.0,1,0.0,1,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,org.eclipse.jgit.api.errors.JGitInternalException: Missing unknown 8b7357b309c98f1a287a0e02241499ff997dbfa3,,,
1,0.0,2017-09-11T20:07:41Z,1,556.0,Java,xbitres/blendedTest,0.0,1.0,1,0.0,0.0,1,done,941.0,24,24,0.0,1,1,1,5e8597f44ed01464734061b6218a14831c25649e,25,7.0,1,31625.0,1563,1.0,master,1.0,2017-09-11T20:07:08Z,1538,2017-09-11T20:03:37Z,1,48,2017-09-11T20:07:45Z,1,24,5,True,50,27,1.0,38,105,219,1703,0.0,1,0.0,,,,,
1,0.0,2014-12-24T06:50:28Z,1,137.0,Java,helunwencser/PAOC,0.0,1.0,1,0.0,0.0,1,done,484.0,5,5,0.0,1,1,1,797ccd4f820f61ef2a01330b403ce9e35c9b5895,6,5.0,1,2732.0,668,1.0,master,1.0,2014-12-24T06:36:35Z,662,2014-12-24T04:39:23Z,1,10,2015-12-21T08:38:19Z,1,5,4,True,20,8,1.0,35,174,218,844,0.0,1,0.0,,,,,
1,0.0,2016-07-12T19:01:52Z,1,175.0,Java,tdeinlein/bachelor_thesis,0.0,1.0,1,0.0,0.0,1,done,369.0,6,6,0.0,1,1,1,dbb60a7c81c8737a416105af8f7f54cedea3244b,7,6.0,1,186386.0,592,1.0,master,1.0,2016-07-08T05:06:31Z,585,2016-07-08T04:48:56Z,1,12,2016-07-12T19:01:01Z,1,6,3,True,15,9,1.0,32,118,157,2298,0.0,1,0.0,,,,,
1,0.0,2015-03-14T20:10:58Z,1,10.0,Java,deimpali/bme,0.0,1.0,1,0.0,0.0,1,done,29.0,6,6,0.0,1,1,1,ff01584c8ff076f9820dce68eb8f129bcef05224,7,4.0,1,132.0,87,1.0,master,1.0,2015-03-14T20:09:00Z,80,2015-03-14T19:59:43Z,1,12,2015-03-14T20:11:00Z,1,6,1,True,6,9,1.0,2,18,44,625,0.0,1,0.0,1,,,,
1,0.0,2013-03-23T13:32:34Z,3,37.0,Java,benahm/StrutsGenerator,0.0,1.0,2,0.0,0.0,2,done,291.0,40,40,0.0,3,1,1,f8602becbf85d3bd1cf897f075ba8da3b4f3b242,42,44.0,2,7020.0,411,1.0,master,1.0,2013-03-23T13:32:34Z,368,2013-03-15T21:59:32Z,1,80,2014-01-01T18:11:07Z,2,40,1,True,16,47,1.0,4,110,218,860,0.0,3,0.0,1,,,1,
1,0.0,2015-01-24T22:18:24Z,1,38.0,Java,mourjo/eplisePluginNuSMV,0.0,1.0,1,0.0,0.0,1,done,171.0,22,21,0.0,1,1,1,84490a11d31db9e42e27134a28e19adc06140332,22,10.0,1,224.0,272,1.0,master,1.0,2015-01-24T22:18:06Z,250,2015-01-24T22:08:07Z,1,43,2015-01-24T22:18:24Z,1,21,5,True,21,24,1.0,18,97,177,641,0.0,1,0.0,1,,,,
1,0.0,2016-09-07T21:33:13Z,1,178.0,Java,RaiffRamalho/compiladores2,0.0,1.0,1,0.0,0.0,1,done,404.0,48,48,0.0,1,1,1,5cc24abdaaf3dce8c92b969b002f77eda22f2bff,49,44.0,1,23498.0,672,1.0,master,1.0,2016-09-07T21:32:49Z,623,2016-08-23T00:08:45Z,1,96,2016-09-05T01:03:38Z,1,48,5,True,33,51,1.0,35,135,280,1263,0.0,1,0.0,,,,,
1,0.0,2018-02-15T22:08:54Z,1,171.0,Java,sunfish-prj/Secure-Multiparty-Computation,0.0,1.0,1,0.0,0.0,1,done,246.0,37,37,0.0,1,1,1,36f0e50cd61d7299b16d1e687fffa1050d692522,38,5.0,1,2565.0,496,1.0,master,1.0,2018-02-15T22:08:36Z,458,2017-10-02T08:44:38Z,1,74,2018-02-15T22:08:56Z,1,37,5,True,16,40,1.0,38,112,218,739,0.0,1,0.0,,,,,
1,2.0,2014-05-27T08:34:29Z,1,116.0,Java,FAMILIAR-project/Tools4PCM,0.0,1.0,1,0.0,0.0,1,done,4414.0,30,30,0.0,1,1,1,010759e5063a1d5ad4809cb67cce477f1c306b7c,31,7.0,1,141277.0,4603,1.0,master,1.0,2014-05-16T12:43:00Z,4572,2014-05-27T08:32:46Z,1,60,2016-06-13T23:41:48Z,1,30,4,True,564,33,1.0,9,102,740,7455,2.0,1,0.0,1,,,,
1,0.0,2015-01-24T21:04:51Z,4,163.0,Java,mourjo/ModelsOfComputation,0.0,1.0,4,0.0,0.0,4,done,352.0,25,25,0.0,4,1,1,c4c911e4d3c5b25911d52b1db717fe98f7e2565c,29,7.0,4,1780.0,585,1.0,master,1.0,2015-01-24T21:04:24Z,556,2015-01-24T21:03:22Z,1,50,2015-01-24T21:04:53Z,4,25,7,True,41,37,1.0,41,173,293,797,0.0,4,0.0,1,,,,
4,0.0,2015-02-24T00:37:37Z,4,274.0,Java,berndv/org.sourcepit.java,0.0,4.0,4,0.0,0.0,4,done,624.0,158,158,0.0,4,4,4,eba014c32bd8c4d5ec16132069dc23bedbc3016e,162,75.0,4,924.0,1104,4.0,master,1.0,2015-02-24T00:36:46Z,939,2015-02-22T21:01:48Z,4,316,2015-02-24T00:37:38Z,4,158,8,True,39,170,1.0,109,444,839,766,0.0,4,0.0,,,,,
