repo,dependencyFile,url,http://org.softlang.com/Folder,http://org.softlang.com/File,http://org.softlang.com/groupId,http://org.softlang.com/artifactId,http://org.softlang.com/relativePath,http://org.softlang.com/Pom,http://org.softlang.com/MavenDependency,http://org.softlang.com/Property,http://org.softlang.com/ParentBlock,http://org.softlang.com/ParentPom,http://org.softlang.com/resolvable,http://org.softlang.com/Module
knowm/XChange,https://github.com/knowm/XChange,https://github.com/knowm/XChange/blob/0e5b9c3650f250a4f3ba2b48bf6bd6de6669825e/xchange-examples/pom.xml,2799,4477,294,294,NaN,88,207,17,87,1,868,87
brianway/java-learning,https://github.com/brianway/java-learning,https://github.com/brianway/java-learning/blob/3fea6298d1e28ab0289284e00cbff021c160f225/java-base/pom.xml,145,538,28,28,NaN,7,22,17,6,NaN,179,87
square/wire,https://github.com/square/wire,https://github.com/square/wire/blob/b618257942cfcf6167bad59fcee02094cc333c4a/wire-maven-plugin/src/test/resources/exemplar/pom.xml,219,327,3,3,NaN,1,2,3,1,NaN,11,NaN
junit-team/junit5,https://github.com/junit-team/junit5,https://github.com/junit-team/junit5/blob/996f1414496a00c5052e1c31292226f23505fc3f/platform-tooling-support-tests/projects/maven-starter/pom.xml,400,1172,3,3,NaN,1,3,4,NaN,NaN,13,NaN
eishay/jvm-serializers,https://github.com/eishay/jvm-serializers,https://github.com/eishay/jvm-serializers/blob/cf264b74356f74bffe1c62db9b9c931f61af25c6/scala_media_container/pom.xml,81,312,2,2,NaN,1,2,NaN,NaN,NaN,6,NaN
kbastani/spring-cloud-microservice-example,https://github.com/kbastani/spring-cloud-microservice-example,https://github.com/kbastani/spring-cloud-microservice-example/blob/5e8dfa121c0613ebe6e18aa7e26ca1fd0421de21/api-gateway-microservice/pom.xml,93,89,56,56,1,10,47,16,9,1,146,9
RobotiumTech/robotium,https://github.com/RobotiumTech/robotium,https://github.com/RobotiumTech/robotium/blob/75e567c38f26a6a87dc8bef90b3886a20e28d291/pom.xml,8,44,9,9,1,2,7,3,2,NaN,33,9
JoanZapata/android-pdfview,https://github.com/JoanZapata/android-pdfview,https://github.com/JoanZapata/android-pdfview/blob/8f239bb91ab56ff3066739dc44bccf8b1753b0ba/android-pdfview-sample/pom.xml,46,82,10,10,NaN,3,7,11,3,1,40,2
pedrovgs/Algorithms,https://github.com/pedrovgs/Algorithms,https://github.com/pedrovgs/Algorithms/blob/9ae21a5c070c9a97e05ef56b2d1f6d764b609f9e/pom.xml,176,171,1,1,NaN,1,NaN,11,1,NaN,15,2
paascloud/paascloud-master,https://github.com/paascloud/paascloud-master,https://github.com/paascloud/paascloud-master/blob/f1f7439587c06330de0c6a98345ff0c90775619b/paascloud-common/paascloud-common-base/pom.xml,505,892,317,317,NaN,34,283,103,34,4,811,26
ming1016/study,https://github.com/ming1016/study,https://github.com/ming1016/study/blob/88cf5813438c4243e262682bf7a65cbdb1b98e64/yin/pysonar-master/pom.xml,147,681,18,18,NaN,3,18,16,NaN,NaN,70,NaN
cryptomator/cryptomator,https://github.com/cryptomator/cryptomator,https://github.com/cryptomator/cryptomator/blob/e16bd7373c8821df06ddc76dcb8362737d948762/main/commons/pom.xml,81,178,73,73,NaN,7,67,19,6,1,197,6
alibaba/Dragonfly,https://github.com/alibaba/Dragonfly,https://github.com/alibaba/Dragonfly/blob/422387038f93fc807493cafb8ff9497baf03fa96/src/supernode/pom.xml,124,667,13,13,NaN,1,13,12,NaN,NaN,47,NaN
oldmanpushcart/greys-anatomy,https://github.com/oldmanpushcart/greys-anatomy,https://github.com/oldmanpushcart/greys-anatomy/blob/e80c55264520c4d2139e8ae6fc2866b447b6d077/pom.xml,54,132,28,28,NaN,3,26,1,2,1,72,2
google/binnavi,https://github.com/google/binnavi,https://github.com/google/binnavi/blob/921d91ed3c6dbc02e356d8f8b71cb52f150d3a92/pom.xml,682,6076,16,16,NaN,1,16,1,NaN,NaN,49,NaN
alibaba/cobar,https://github.com/alibaba/cobar,https://github.com/alibaba/cobar/blob/3c6f64d5975ac78055e98cc031039d2e191740c0/server/pom.xml,202,1093,27,27,NaN,3,27,5,NaN,NaN,86,NaN
