repository,maven,stargazers_count,forks_count,watchers_count,size,default_branch,language,created_at,updated_at,pushed_at,sha,sha_data,components,duplicates,time,state,Folder,File,Manifest,Pom,Gradle,Ant,uniform_build
lets-blade/blade,1,3922,840,3922,4901,master,Java,2015-06-10T03:35:49Z,2018-07-26T11:31:04Z,2018-07-15T16:26:42Z,3624e25484a93303d9b2988666ad34fc31cd9285,2018-07-15T16:26:41Z,0,0,877,done,73,281,0.0,1.0,1.0,0.0,False
liaohuqiu/android-Ultra-Pull-To-Refresh,5,9213,2829,9213,3474,master,Java,2014-11-13T03:13:10Z,2018-07-26T10:50:20Z,2018-05-04T21:12:00Z,46fdc861243a3d90dca1f5d31f3c82559ee9e4fa,2016-05-04T03:01:31Z,0,0,846,done,57,144,0.0,1.0,1.0,0.0,False
libgdx/libgdx,27,14163,5705,14163,1001510,master,Java,2012-08-10T19:34:38Z,2018-07-26T22:37:12Z,2018-07-23T08:28:55Z,56bcbace6b94af3e71884ddd742b24b276515ea8,2018-07-20T17:42:36Z,0,0,8512,done,729,4962,0.0,1.0,1.0,1.0,False
liyifeng1994/ssm,1,3433,1755,3433,12370,master,Java,2016-06-18T17:58:56Z,2018-07-26T14:10:01Z,2018-06-07T07:44:00Z,f3f90d79e50410c2f661ff309dd022322bdbc7cf,2018-06-07T07:43:59Z,0,0,1483,done,33,68,0.0,1.0,0.0,0.0,True
mcxiaoke/android-volley,1,4454,1724,4454,952,master,Java,2013-05-21T05:35:26Z,2018-07-24T06:54:11Z,2017-05-15T08:20:04Z,6864be3efadf3a33793228c0ce721a72d7a78731,2017-05-15T08:20:03Z,0,0,1076,done,19,97,0.0,1.0,1.0,1.0,False
medcl/elasticsearch-analysis-ik,1,4779,1262,4779,7552,master,Java,2011-12-16T09:01:45Z,2018-07-26T13:29:00Z,2018-07-26T10:04:50Z,1422d5b96c6c6797367a93b69e9b37c35c72fcd1,2018-07-26T02:25:44Z,0,0,1341,done,22,44,0.0,1.0,0.0,0.0,True
mybatis/mybatis-3,1,8066,5002,8066,82094,master,Java,2013-02-14T19:03:32Z,2018-07-26T14:03:41Z,2018-07-26T16:41:33Z,f32c6249c25dfe8880fcfda2ea7b5d6a276f4b44,2018-07-25T18:29:29Z,0,0,2329,done,268,1674,0.0,1.0,0.0,0.0,True
naver/pinpoint,30,6482,2082,6482,199618,master,Java,2014-10-20T09:27:22Z,2018-07-26T14:26:07Z,2018-07-25T10:20:50Z,bae3a4d2dde8aeccd45cd697c77116f786e0c7f4,2018-07-25T10:20:48Z,0,0,9489,done,2204,6965,0.0,1.0,0.0,0.0,True
neo4j/neo4j,30,5322,1376,5322,427178,3.5,Java,2012-11-12T08:46:15Z,2018-07-26T11:04:40Z,2018-07-26T11:04:26Z,87a789cdcd4f89b0e0d5452a9e0eb57f9b715a6f,2018-07-26T08:31:06Z,0,0,14504,done,2759,9888,0.0,1.0,0.0,1.0,False
netty/netty,30,15072,6642,15072,51746,4.1,Java,2010-11-09T09:22:21Z,2018-07-26T17:56:46Z,2018-07-26T23:06:11Z,620dad0c2602440f2c457a5cb2a4c7a29e786bda,2018-07-26T17:56:32Z,0,0,2233,done,659,2759,0.0,1.0,0.0,0.0,True
nhaarman/ListViewAnimations,5,5691,1821,5691,25513,master,Java,2013-03-19T11:59:23Z,2018-07-26T02:43:28Z,2016-11-03T13:04:11Z,23617960178fb5af3099c07996569cc305a40945,2016-11-03T13:04:11Z,0,0,860,done,84,190,0.0,1.0,1.0,0.0,False
openhab/openhab1-addons,30,3483,1734,3483,230967,master,Java,2013-09-20T20:28:43Z,2018-07-26T22:28:48Z,2018-07-26T22:28:31Z,cc5280f66a9827cbb240346381656394b5e66fda,2018-07-26T22:28:30Z,241,0,15016,done,3615,6687,1.0,1.0,0.0,0.0,False
openzipkin/zipkin,30,9080,1507,9080,39757,master,Java,2012-06-06T18:26:16Z,2018-07-26T16:45:44Z,2018-07-26T12:36:52Z,3bcf8d119070b3fe73bf86d5932c046ff12dec7b,2018-07-26T12:36:49Z,0,0,1285,done,404,561,0.0,1.0,0.0,0.0,True
orfjackal/retrolambda,6,3428,219,3428,1006,master,Java,2013-07-20T07:25:22Z,2018-07-26T02:56:53Z,2018-05-30T11:15:47Z,54ac5e8c79825f20462be7ce344649913fe134d1,2018-05-30T11:13:43Z,0,0,823,done,77,161,0.0,1.0,0.0,0.0,True
orientechnologies/orientdb,17,3566,750,3566,225828,develop,Java,2012-12-09T20:33:47Z,2018-07-26T17:46:54Z,2018-07-26T21:24:27Z,f7e13521f89acbe3b6098c6c856223027bfe68cf,2018-07-26T17:46:32Z,3,0,3916,done,790,3953,1.0,1.0,0.0,0.0,False
pagehelper/Mybatis-PageHelper,1,4823,1686,4823,4222,master,Java,2014-06-09T15:32:30Z,2018-07-26T09:26:39Z,2018-07-05T16:24:43Z,78b4701359ef807192549d74f82a79e9f47bd4b3,2018-04-22T01:46:28Z,0,0,963,done,58,173,0.0,1.0,0.0,0.0,True
pardom-zz/ActiveAndroid,3,4591,1111,4591,18083,master,Java,2012-11-15T18:10:45Z,2018-07-25T09:17:57Z,2018-07-26T19:32:20Z,08c6335cd7324c6e72da536b0c6fffa5a798f6a2,2014-10-07T14:39:58Z,0,0,1042,done,30,88,0.0,1.0,1.0,1.0,False
perwendel/spark,1,7588,1388,7588,2323,master,Java,2011-05-05T11:52:05Z,2018-07-26T15:14:10Z,2018-07-19T22:52:00Z,c697d981268c538dfeeb38786bd9eb0a03ab86f0,2018-06-11T09:23:40Z,0,0,959,done,64,204,0.0,1.0,0.0,0.0,True
prestodb/presto,30,7826,2661,7826,95190,master,Java,2012-08-09T01:03:37Z,2018-07-26T22:06:16Z,2018-07-26T22:20:05Z,d3c9272f3d02233f6a8549d95ab491be70afd465,2018-07-26T22:04:57Z,0,0,7270,done,1293,6638,0.0,1.0,0.0,0.0,True
proxyee-down-org/proxyee-down,6,12014,2110,12014,4627,master,Java,2017-10-25T10:07:27Z,2018-07-26T19:15:28Z,2018-07-24T14:43:29Z,ab2efdee645540725738d3764e0d6afb2624af12,2018-05-24T08:02:39Z,0,0,992,done,109,190,0.0,1.0,0.0,0.0,True
redisson/redisson,8,5821,1565,5821,9273,master,Java,2014-01-11T14:06:25Z,2018-07-26T22:15:07Z,2018-07-23T01:53:22Z,fa36e304383f00b5f678d3b4381d9c871aa1b143,2018-07-19T15:07:19Z,0,0,1330,done,151,970,0.0,1.0,0.0,0.0,True
robolectric/robolectric,1,4081,1126,4081,39425,master,Java,2010-08-28T00:28:25Z,2018-07-26T17:44:59Z,2018-07-26T17:44:39Z,83407e9a4c6e7f48774c86438f8e8bf5151bc25d,2018-07-26T17:44:38Z,0,0,1834,done,425,1529,0.0,0.0,1.0,0.0,True
rzwitserloot/lombok,6,6513,1222,6513,73908,master,Java,2009-06-08T19:46:41Z,2018-07-26T14:48:11Z,2018-07-25T22:17:44Z,61fbd4a7f82180871e635a0ca80248e0cec02cf3,2018-07-25T22:17:09Z,0,0,1472,done,188,1356,0.0,1.0,1.0,1.0,False
scribejava/scribejava,7,4491,1546,4491,2981,master,Java,2010-09-05T19:11:40Z,2018-07-26T19:33:31Z,2018-07-26T19:33:25Z,f96b6768cd2fcdb1f242e8de62e6737d4d0c4b02,2018-07-26T19:23:16Z,0,0,954,done,138,264,0.0,1.0,0.0,0.0,True
sharding-sphere/sharding-sphere,18,4907,1879,4907,21844,dev,Java,2016-01-18T12:49:26Z,2018-07-26T12:26:43Z,2018-07-26T10:46:35Z,3c166002e0eb5985ebadd63ee8cad8e7f6a584df,2018-07-26T10:46:23Z,0,0,3019,done,847,2289,0.0,1.0,0.0,0.0,True
shuzheng/zheng,30,10962,5484,10962,40992,master,Java,2016-10-04T10:07:06Z,2018-07-26T19:18:40Z,2018-07-21T08:02:47Z,11f2e86e9a1cec80cd1a1e41f270d7e2da6ee781,2018-07-04T08:37:38Z,0,0,1923,done,714,1232,0.0,1.0,0.0,0.0,True
spring-projects/spring-boot,30,27067,19644,27067,78183,master,Java,2012-10-19T15:02:57Z,2018-07-26T23:03:56Z,2018-07-26T23:03:44Z,ec2e3c4c0eff5e60c4ffbd8d8ad2809646ff228a,2018-07-26T23:03:37Z,0,0,7911,done,3101,5509,1.0,1.0,1.0,1.0,False
springside/springside4,10,5374,3073,5374,4827,master,Java,2012-02-23T08:39:03Z,2018-07-26T11:12:59Z,2018-06-06T06:21:26Z,cda225316162793bc9a299dbde94ba54762eb839,2018-06-06T06:21:26Z,0,0,982,done,139,240,0.0,1.0,0.0,0.0,True
sqshq/PiggyMetrics,9,3479,1964,3479,1439,master,Java,2015-03-29T17:56:31Z,2018-07-26T16:19:21Z,2018-07-23T03:54:39Z,2060d05aec9867e6bc73491c590365f2ab9203a0,2018-07-22T22:20:21Z,0,0,862,done,157,194,0.0,1.0,0.0,0.0,True
square/dagger,30,6831,2448,6831,6834,master,Java,2012-08-02T23:25:32Z,2018-07-26T12:37:08Z,2018-01-10T15:24:37Z,572cdd2fe97fc3c148fb3d8e1b2ce7beb4dcbcde,2018-01-10T15:24:29Z,0,0,966,done,187,210,0.0,1.0,0.0,0.0,True
square/javapoet,1,5580,681,5580,1728,master,Java,2013-02-01T16:56:30Z,2018-07-26T10:50:44Z,2018-07-26T17:25:46Z,1469cfa30536afbaa8fcfe9d2ee0745ec0213bca,2018-07-11T07:35:51Z,0,0,857,done,12,46,0.0,1.0,0.0,0.0,True
square/okhttp,18,27799,6419,27799,17883,master,Java,2012-07-23T13:42:55Z,2018-07-26T21:41:33Z,2018-07-20T14:53:49Z,80bb3b175b860890d29e33d90010bf727d16ccde,2018-07-20T14:53:48Z,0,0,1030,done,218,385,0.0,1.0,0.0,0.0,True
square/otto,3,5109,908,5109,703,master,Java,2012-06-27T19:06:49Z,2018-07-26T21:17:19Z,2018-04-24T21:23:36Z,2a67589abd91879cf23a8c96542b59349485ec3d,2018-04-24T21:23:35Z,0,0,763,done,31,62,0.0,1.0,0.0,0.0,True
square/retrofit,21,28890,5579,28890,4698,master,Java,2010-09-06T21:39:43Z,2018-07-26T16:39:21Z,2018-07-20T13:57:26Z,c1b100f3c4e84711fa23bdfed03cb78c4d8a8f19,2018-07-14T05:09:51Z,0,0,1011,done,217,289,0.0,1.0,0.0,0.0,True
stanfordnlp/CoreNLP,4,5039,1839,5039,284825,master,Java,2013-06-27T21:13:49Z,2018-07-26T17:45:00Z,2018-07-24T02:58:41Z,bc22c5c62ce9fcc18310499764a97869002f47af,2018-07-24T02:58:36Z,0,0,3664,done,355,2634,1.0,1.0,1.0,1.0,False
swagger-api/swagger-core,9,5121,1600,5121,12232,master,Java,2011-07-05T23:44:11Z,2018-07-26T12:39:08Z,2018-07-26T02:35:25Z,110ae2bae21b7f2e64aff3691953c11a533a14c9,2018-07-18T09:46:16Z,0,0,1175,done,238,660,0.0,1.0,0.0,0.0,True
thinkaurelius/titan,26,4741,986,4741,91250,titan10,Java,2012-02-25T22:53:53Z,2018-07-26T14:23:04Z,2017-02-18T21:00:37Z,ee226e52415b8bf43b700afac75fa5b9767993a5,2015-12-03T10:40:44Z,0,0,1982,done,550,1992,0.0,1.0,0.0,0.0,True
weibocom/motan,25,4458,1526,4458,4359,master,Java,2016-04-20T10:56:17Z,2018-07-26T13:13:35Z,2018-07-17T09:57:44Z,f8e0d4940a527dec5720ffc0f223b283efd0c071,2018-07-11T05:20:56Z,0,0,1126,done,467,745,0.0,1.0,0.0,0.0,True
xetorthio/jedis,1,6868,2802,6868,7246,master,Java,2010-06-11T13:04:43Z,2018-07-26T15:36:14Z,2018-07-26T09:50:33Z,d1fb17ce3021f8bac135aef3fd306d62c877c13c,2018-06-03T14:13:14Z,0,0,912,done,22,187,0.0,1.0,0.0,0.0,True
xuxueli/xxl-job,8,4796,2039,4796,27772,master,Java,2015-11-28T12:59:34Z,2018-07-26T17:20:18Z,2018-07-22T14:02:28Z,86dc203d54914fea32adad841b9e0ca4f1bd55be,2018-07-03T14:14:13Z,0,0,1120,done,197,336,0.0,1.0,0.0,0.0,True
zxing/zxing,8,19394,7579,19394,239557,master,Java,2011-10-12T14:07:27Z,2018-07-26T17:58:20Z,2018-07-24T23:16:39Z,96d974f44dc13ab3927402732bde1987160afcf2,2018-07-24T23:16:34Z,0,0,3684,done,369,3608,0.0,1.0,0.0,0.0,True
