components,sha_data,stargazers_count,pushed_at,Ant,http://org.softlang.com/Folder,http://org.softlang.com/manifestsAs,created_at,language,repository,Folder,http://org.softlang.com/xmlns,updated_at,http://org.softlang.com/OSGiProject,state,uniform_build,http://org.softlang.com/XML,http://org.softlang.com/File,duplicates,maven,http://org.softlang.com/Manifest,Manifest,sha,Pom,http://org.softlang.com/Java,size,http://org.softlang.com/partOf,http://org.softlang.com/elementOf,default_branch,time,Gradle,watchers_count,File,forks_count,http://org.softlang.com/refOccurs
0,2018-04-06T14:30:44Z,3931,2018-06-27T00:10:24Z,0.0,147,305,2012-08-10T21:52:42Z,Java,NanoHttpd/nanohttpd,147,28,2018-07-26T14:34:05Z,,done,False,28,158,0,14,,0.0,fd80618e93d17f8f05e11006eaa048a22213714d,1.0,87,1337,304,115,master,1044,1.0,3931,158,1202,
0,2018-06-06T07:14:41Z,23373,2018-07-25T16:55:03Z,0.0,73,487,2014-04-25T14:29:47Z,Java,PhilJay/MPAndroidChart,73,62,2018-07-26T19:43:54Z,,done,False,69,414,0,1,,0.0,c1f6fcebf0c3516e067b34312b283189f909bde5,1.0,234,20984,486,303,master,1119,1.0,23373,414,6324,
0,2018-07-26T21:55:09Z,11279,2018-07-26T21:56:15Z,0.0,779,6415,2013-01-14T21:40:56Z,Java,SeleniumHQ/selenium,779,69,2018-07-26T21:56:34Z,,done,True,164,5636,0,1,,0.0,e910737a9cee6cd7ad0f442bc943997ee9674683,1.0,1290,1599873,6414,1454,master,15490,0.0,11279,5636,4131,
0,2018-07-24T09:17:58Z,3522,2018-07-24T09:17:59Z,0.0,514,2101,2017-04-25T05:57:43Z,Java,Tencent/angel,514,28,2018-07-26T15:03:46Z,,done,True,22,1587,0,13,,0.0,9cbd972caa4b018dd43d85465c5ce14cf11768e8,1.0,817,41397,2100,839,master,3111,0.0,3522,1587,888,
0,2018-07-25T20:27:20Z,4214,2018-07-25T20:27:21Z,1.0,36,166,2010-01-20T23:33:04Z,Java,TooTallNate/Java-WebSocket,36,2,2018-07-26T10:58:21Z,,done,False,3,130,0,1,,0.0,7bdd22d61615e4d420e1731ddb4acbfdcc2605d6,1.0,116,3290,165,119,master,1265,1.0,4214,130,1426,
0,2016-10-31T12:30:28Z,4745,2017-05-16T16:03:36Z,0.0,23,119,2012-06-19T07:49:46Z,Java,Trinea/android-common,23,6,2018-07-25T10:07:07Z,,done,True,12,96,0,1,,0.0,43ebcee553a970922afd0d822959f99dba84b8f4,1.0,77,1400,118,89,master,1322,0.0,4745,96,2765,
0,2018-07-26T08:05:33Z,5292,2018-07-26T08:06:14Z,0.0,352,788,2013-01-13T10:59:52Z,Java,alibaba/canal,352,128,2018-07-26T09:51:42Z,,done,True,55,436,0,18,,0.0,8cfb70e0809ba12fa5bc9f0131e4412064d8b1ac,1.0,342,2047,787,397,master,1556,0.0,5292,436,2122,
0,2018-07-20T01:47:43Z,12381,2018-07-24T15:53:45Z,0.0,399,5046,2011-11-03T05:12:51Z,Java,alibaba/druid,399,42,2018-07-26T18:22:09Z,1,done,False,20,4647,0,2,1,1.0,b3572b7601e16efa34d10bcfcadfe3b887c3dc05,1.0,4019,53077,5045,4041,master,5003,0.0,12381,4647,4883,
0,2018-07-20T09:05:01Z,14397,2018-07-26T22:54:35Z,0.0,226,2898,2011-11-03T06:58:52Z,Java,alibaba/fastjson,226,46,2018-07-26T13:19:55Z,1,done,False,13,2672,0,1,1,1.0,42252b96fbead7b110de1b7a77ac6aa9e4fa8e75,1.0,2566,11772,2897,2581,master,2883,0.0,14397,2672,4301,
0,2018-05-14T03:53:11Z,3553,2018-05-28T08:40:52Z,0.0,554,2635,2013-09-03T03:53:16Z,Java,alibaba/jstorm,554,50,2018-07-26T04:59:16Z,,done,True,35,2081,0,21,,0.0,5d6cde22dbca7df3d6e6830bf94f98a6639ab559,1.0,1619,107798,2634,1654,master,2448,0.0,3553,2081,1816,
0,2018-07-23T08:17:39Z,3339,2018-07-24T02:36:21Z,0.0,547,1760,2013-08-09T09:31:22Z,Java,alibaba/otter,547,297,2018-07-26T09:28:52Z,1,done,False,100,1213,0,17,1,1.0,9be083ed38b79502be11ee72a63f276dc3f2eb92,1.0,886,11981,1759,988,master,2569,0.0,3339,1213,1388,
0,2018-06-20T16:33:58Z,10388,2018-07-20T18:16:20Z,0.0,420,1510,2012-01-06T08:48:03Z,Java,androidannotations/androidannotations,420,123,2018-07-26T09:05:06Z,,done,False,112,1090,0,22,,0.0,5703c1a02bcee62e893be7ae0cdc5143313f47e8,1.0,900,21918,1509,1012,develop,1624,1.0,10388,1090,2475,
0,2018-07-24T22:56:43Z,4251,2018-07-24T22:56:46Z,0.0,257,2132,2010-02-04T01:36:28Z,Java,antlr/antlr4,257,39,2018-07-26T20:46:39Z,,done,True,48,1875,0,12,,0.0,1375995edbe869e0eabcef316d2388ca7881f581,1.0,679,62198,2131,727,master,2499,0.0,4251,1875,1167,
