address,current,old,sample,id,repository_type
Girish-Venkatesh/XTextSelenium,True,True,False,Girish-Venkatesh/XTextSelenium,git
GordinMaxim/handy-model,True,True,False,GordinMaxim/handy-model,git
Gurbodog/mdsd.train5,True,True,False,Gurbodog/mdsd.train5,git
GustavoMA/ATLChangeImpactAnalyserPlugin,False,True,False,GustavoMA/ATLChangeImpactAnalyserPlugin,git
HGitMaster/geotools-osgi,True,True,False,HGitMaster/geotools-osgi,git
HamedKaramoko/farmingdsl,True,True,False,HamedKaramoko/farmingdsl,git
Harkirat94/query-rcp-app,True,True,False,Harkirat94/query-rcp-app,git
Heady1890/modelEngineeringLab2,True,True,False,Heady1890/modelEngineeringLab2,git
HolyCityAudio/SpinCAD-Builder,True,True,False,HolyCityAudio/SpinCAD-Builder,git
ILogre/captah,True,True,False,ILogre/captah,git
IncQueryLabs/incquery-examples-cps,False,True,False,IncQueryLabs/incquery-examples-cps,git
JGuillet/TPs_M2,True,True,False,JGuillet/TPs_M2,git
JMVARA/metagem,True,True,False,JMVARA/metagem,git
JanKoehnlein/ESE-2010-Tutorial,True,True,False,JanKoehnlein/ESE-2010-Tutorial,git
JanKoehnlein/EclipseCon2013_XtextTutorial,True,True,False,JanKoehnlein/EclipseCon2013_XtextTutorial,git
JanKoehnlein/Generic-Graph-View,True,True,False,JanKoehnlein/Generic-Graph-View,git
JanKoehnlein/XRobot,True,True,False,JanKoehnlein/XRobot,git
JeanHany/farmingdsl2,True,True,False,JeanHany/farmingdsl2,git
Jhonfck/DSL-EMFText-for-Eclipse,True,True,True,Jhonfck/DSL-EMFText-for-Eclipse,git
JoHae/de.htwg.seapal.regatta,True,True,False,JoHae/de.htwg.seapal.regatta,git
JonasHelming/10platforms,True,True,False,JonasHelming/10platforms,git
Karlito83/qualitysmells_kp,True,True,False,Karlito83/qualitysmells_kp,git
KevinHoward/imogene,True,True,False,KevinHoward/imogene,git
Kingsousse/Model-Driven-Engineering--Eclipse-RCP-plugin--Software-product-line,False,True,False,Kingsousse/Model-Driven-Engineering--Eclipse-RCP-plugin--Software-product-line,git
KybeleResearch/aml4m2dat,True,True,False,KybeleResearch/aml4m2dat,git
KybeleResearch/i-trace,True,True,False,KybeleResearch/i-trace,git
KybeleResearch/metagem,True,True,False,KybeleResearch/metagem,git
KybeleResearch/servicereasoning,True,True,False,KybeleResearch/servicereasoning,git
LaurentLegrand/ollabaca-on,True,True,False,LaurentLegrand/ollabaca-on,git
LaurentLegrand/ollabaca-on-attic,True,True,False,LaurentLegrand/ollabaca-on-attic,git
LorenzoBettini/Xtext-Buckminster-Example,True,True,False,LorenzoBettini/Xtext-Buckminster-Example,git
LorenzoBettini/Xtext-Xtend-Buckminster-Example,True,True,False,LorenzoBettini/Xtext-Xtend-Buckminster-Example,git
LorenzoBettini/Xtext2-experiments,True,True,False,LorenzoBettini/Xtext2-experiments,git
LorenzoBettini/packtpub-xtext-book-examples,True,True,False,LorenzoBettini/packtpub-xtext-book-examples,git
LorenzoBettini/xsemantics,False,True,False,LorenzoBettini/xsemantics,git
LorenzoBettini/xtext-index-experiments,True,True,False,LorenzoBettini/xtext-index-experiments,git
LorenzoBettini/xtext-scoping,True,True,False,LorenzoBettini/xtext-scoping,git
LoulouLMG/farming-simulator,True,True,False,LoulouLMG/farming-simulator,git
MDA2014/django-xpand,True,True,False,MDA2014/django-xpand,git
MDEGroup/EMFMigrate,True,True,False,MDEGroup/EMFMigrate,git
MDEGroup/MDEForge,True,True,False,MDEGroup/MDEForge,git
MIND-Tools/mindEd,True,True,False,MIND-Tools/mindEd,git
MIND-Tools/sandboxes,True,True,False,MIND-Tools/sandboxes,git
MOHITO-PROJECT/MOHITO,True,True,False,MOHITO-PROJECT/MOHITO,git
MacJariel/dsl-debugger,True,True,False,MacJariel/dsl-debugger,git
MacJariel/sandbox-dsl,True,True,False,MacJariel/sandbox-dsl,git
MahsaPanahandeh/MUPPIT,True,True,False,MahsaPanahandeh/MUPPIT,git
Malinoski/IMT,True,True,False,Malinoski/IMT,git
Malinoski/OpenEHR2RichUbi_v5_2014_02_22,True,True,False,Malinoski/OpenEHR2RichUbi_v5_2014_02_22,git
Maluen/acceleo-coevolution,True,True,True,Maluen/acceleo-coevolution,git
MartinSchmidt/NanoDSL,True,True,False,MartinSchmidt/NanoDSL,git
MasterGlaISTIC/idm,True,True,False,MasterGlaISTIC/idm,git
Mastrognu/BramboProject,True,True,False,Mastrognu/BramboProject,git
MatzeGIT/BuckMinster,True,True,False,MatzeGIT/BuckMinster,git
MichalKrasowski/staruml,True,True,False,MichalKrasowski/staruml,git
MichelSc/projects.citrique,True,True,False,MichelSc/projects.citrique,git
MichelSc/projects.cpt,True,True,False,MichelSc/projects.cpt,git
Miroslawas/ModelDrivenDevelopment,True,True,False,Miroslawas/ModelDrivenDevelopment,git
ModeShape/modeshape,False,True,False,ModeShape/modeshape,git
Model-Engineering-AG-34/model-engineering-ws14,True,True,False,Model-Engineering-AG-34/model-engineering-ws14,git
Mr-Wallet/BlorqueScript,True,True,False,Mr-Wallet/BlorqueScript,git
NCIP/cacore-sdk,True,True,False,NCIP/cacore-sdk,git
NIEM/NIEM-UML,True,True,True,NIEM/NIEM-UML,git
Nasdanika/amur,True,True,False,Nasdanika/amur,git
Nasdanika/server,True,True,False,Nasdanika/server,git
Nobsen/DSLTicket,True,True,False,Nobsen/DSLTicket,git
NokiPls/ATLProva,True,True,False,NokiPls/ATLProva,git
NokiPls/BramboAcceleo,True,True,True,NokiPls/BramboAcceleo,git
OSI-Califronia/linmabreakout,True,True,False,OSI-Califronia/linmabreakout,git
Obeo/Game-Designer,True,True,False,Obeo/Game-Designer,git
Obeo/emf.compare.acceptance.tests,True,True,False,Obeo/emf.compare.acceptance.tests,git
ObeoNetwork/BPMN-Designer,True,True,False,ObeoNetwork/BPMN-Designer,git
ObeoNetwork/Database-Designer,True,True,False,ObeoNetwork/Database-Designer,git
ObeoNetwork/EAST-ADL-Designer,True,True,False,ObeoNetwork/EAST-ADL-Designer,git
ObeoNetwork/Flow-Designer,True,True,False,ObeoNetwork/Flow-Designer,git
ObeoNetwork/InformationSystem,True,True,False,ObeoNetwork/InformationSystem,git
ObeoNetwork/LivingDocumentation,True,True,False,ObeoNetwork/LivingDocumentation,git
ObeoNetwork/SPEM-Designer,True,True,False,ObeoNetwork/SPEM-Designer,git
ObeoNetwork/SysML-Designer,True,True,False,ObeoNetwork/SysML-Designer,git
ObeoNetwork/Variability-Designer,True,True,False,ObeoNetwork/Variability-Designer,git
ObeoNetwork/Xtext-Sirius-integration,True,True,False,ObeoNetwork/Xtext-Sirius-integration,git
Open-MBEE/MDK,False,True,False,Open-MBEE/MDK,git
Osbern/ISTIC_M2GL,True,True,False,Osbern/ISTIC_M2GL,git
Overruler/eclipse.emf,True,True,False,Overruler/eclipse.emf,git
Overruler/org.eclipse.emf,True,True,False,Overruler/org.eclipse.emf,git
PSI-AG/texo,False,True,False,PSI-AG/texo,git
PicoleDeLimao/Compilador-Pascal,True,True,False,PicoleDeLimao/Compilador-Pascal,git
PizzaFactory/a_rtegen,True,True,False,PizzaFactory/a_rtegen,git
QuBiT/cucumber-eclipse-plugin,True,True,False,QuBiT/cucumber-eclipse-plugin,git
Qw4z1/mds,True,True,False,Qw4z1/mds,git
R0dr1g0/EstudoDeCaso,True,True,False,R0dr1g0/EstudoDeCaso,git
RaphaelCavalcante/XtextExternalGenerator,True,True,False,RaphaelCavalcante/XtextExternalGenerator,git
RckMrkr/MDD2013,True,True,False,RckMrkr/MDD2013,git
RedhawkSDR/eclipse-gov.redhawk.core,True,True,False,RedhawkSDR/eclipse-gov.redhawk.core,git
RedhawkSDR/eclipse-mil.jpeojtrs.sca,True,True,False,RedhawkSDR/eclipse-mil.jpeojtrs.sca,git
RobotML/RobotML-SDK,True,True,False,RobotML/RobotML-SDK,git
RobotML/RobotML-SDK-Juno,True,True,False,RobotML/RobotML-SDK-Juno,git
